k,MAP,NDCG,P,Recall
1,0.0031,0.26,0.26,0.0031
3,0.00671,0.24224,0.24,0.00773
5,0.0101,0.23052,0.224,0.01223
10,0.01784,0.22847,0.224,0.02357
100,0.0628,0.17749,0.1328,0.13489
1000,0.09365,0.27625,0.03914,0.36339
