k,MAP,NDCG,P,Recall
1,0.0059,0.52,0.52,0.0059
3,0.0149,0.50816,0.50667,0.01684
5,0.0215,0.4951,0.488,0.02591
10,0.03488,0.47853,0.468,0.04732
100,0.12723,0.35148,0.2698,0.25076
1000,0.17236,0.43379,0.05658,0.50316
