k,MAP,NDCG,P,Recall
1,0.0072,0.58,0.58,0.0072
3,0.01864,0.59061,0.59333,0.02154
5,0.02636,0.55148,0.536,0.03143
10,0.04122,0.51218,0.488,0.05305
100,0.15564,0.3925,0.3006,0.28548
1000,0.22808,0.54029,0.07252,0.65865
