k,MAP,NDCG,P,Recall
1,0.00641,0.48,0.48,0.00641
3,0.01711,0.52614,0.53333,0.02006
5,0.02576,0.53291,0.54,0.0327
10,0.04043,0.4962,0.484,0.05555
100,0.113,0.31309,0.2216,0.2221
1000,0.14573,0.40362,0.04996,0.46569
